st,count_x,count_y,percent
01,275,293,0.4841549295774648
02,121,88,0.5789473684210527
04,1733,1601,0.5197960407918416
05,66,68,0.4925373134328358
06,15894,18274,0.4651720908452353
08,1148,1600,0.4177583697234352
09,142,191,0.4264264264264264
10,84,15,0.8484848484848485
11,6657,9239,0.41878459989934574
12,5311,6478,0.45050470777843754
13,2475,2197,0.5297517123287672
15,200,392,0.33783783783783783
16,161,313,0.339662447257384
17,3470,4422,0.43968575772934615
18,608,789,0.4352183249821045
19,135,146,0.4804270462633452
20,130,174,0.4276315789473684
21,302,431,0.4120054570259209
22,533,674,0.4415907207953604
23,8,20,0.2857142857142857
24,652,803,0.44810996563573885
25,2355,2169,0.5205570291777188
26,979,1103,0.4702209414024976
27,808,763,0.5143220878421387
28,94,67,0.5838509316770186
29,846,1056,0.444794952681388
30,55,28,0.6626506024096386
31,149,121,0.5518518518518518
32,1720,1723,0.4995643334301481
33,28,22,0.56
34,439,419,0.5116550116550117
35,231,232,0.49892008639308855
36,17936,18792,0.4883467654105859
37,1043,1259,0.4530842745438749
38,29,10,0.7435897435897436
39,2577,1557,0.6233671988388969
40,286,283,0.5026362038664324
41,1003,1923,0.3427887901572112
42,3103,3026,0.5062816120084842
44,70,75,0.4827586206896552
45,284,280,0.5035460992907801
46,10,NA,NA
47,983,1269,0.43650088809946713
48,6662,7457,0.47184644804872866
49,334,256,0.5661016949152542
50,35,103,0.2536231884057971
51,452,633,0.4165898617511521
53,1662,1809,0.4788245462402766
54,23,14,0.6216216216216216
55,574,416,0.5797979797979798
56,19,37,0.3392857142857143
NA,111,121,0.47844827586206895
