st,likes_x,likes_y,percent
01,1230,1856,0.39857420609202854
02,251,204,0.5516483516483517
04,9556,3415,0.7367203762238841
05,88,161,0.3534136546184739
06,116027,106113,0.5223147564598901
08,5848,1656,0.779317697228145
09,1492,3962,0.27356068940227357
10,140,5,0.9655172413793104
11,427830,355778,0.5459745178711805
12,29557,27838,0.5149751720533148
13,9974,5654,0.6382134630151011
15,405,1930,0.1734475374732334
16,427,323,0.5693333333333334
17,28309,19109,0.5970095744232148
18,1522,731,0.6755437194851309
19,1263,173,0.8795264623955432
20,444,406,0.5223529411764706
21,2282,3034,0.4292701279157261
22,2848,2012,0.5860082304526749
23,7,13,0.35
24,1157,1097,0.5133096716947648
25,15407,6473,0.7041590493601463
26,3555,3371,0.5132832803927231
27,2526,1304,0.6595300261096606
28,202,148,0.5771428571428572
29,2557,1847,0.5806085376930064
30,87,32,0.7310924369747899
31,450,210,0.6818181818181818
32,33687,7688,0.8141873111782477
33,71,35,0.6698113207547169
34,919,491,0.6517730496453901
35,948,323,0.7458693941778127
36,945729,626886,0.6013735084556614
37,3545,5301,0.40074609993217275
38,17,7,0.7083333333333334
39,10148,3703,0.7326546819724208
40,410,479,0.4611923509561305
41,2356,2538,0.4814058030241112
42,28639,22726,0.5575586488854278
44,81,98,0.45251396648044695
45,323,304,0.5151515151515151
46,16,0,1
47,12546,9076,0.5802423457589492
48,77233,41694,0.6494151874679425
49,579,513,0.5302197802197802
50,42,101,0.2937062937062937
51,4521,1118,0.801737896790211
53,3239,2684,0.5468512578085429
54,29,9,0.7631578947368421
55,2426,996,0.7089421390999415
56,8,18,0.3076923076923077
NA,392,338,0.536986301369863
