st,dem_percent
04,0.494
12,0.479
13,0.495
19,0.449
26,0.506
27,0.524
32,0.501
33,0.527
37,0.486
39,0.452
42,0.5
48,0.465
55,0.494
01,0.366
02,0.428
05,0.348
06,0.635
08,0.5539999999999999
09,0.593
10,0.5870000000000001
11,0.9209999999999999
15,0.637
16,0.331
17,0.575
18,0.41
20,0.41600000000000004
21,0.36200000000000004
22,0.39899999999999997
23,0.531
24,0.654
25,0.6559999999999999
28,0.41100000000000003
29,0.414
30,0.405
31,0.39399999999999996
34,0.573
35,0.5429999999999999
36,0.609
38,0.318
40,0.32299999999999995
41,0.565
44,0.594
45,0.434
46,0.35600000000000004
47,0.375
49,0.376
50,0.6609999999999999
51,0.541
53,0.58
54,0.297
56,0.266
