st,dem_votes,rep_votes
04,1672143,1661686
12,5297045,5668731
13,2473633,2461854
19,759061,897672
26,2804040,2649852
27,1717077,1484065
32,703486,669890
33,424921,365654
37,2684292,2758775
39,2679165,3154834
42,3458229,3377674
48,5259126,5890347
55,1630866,1610184
01,849624,1441170
02,153778,189951
05,423932,760647
06,11110250,6006429
08,1804352,1364607
09,1080831,714717
10,296268,200603
11,317323,18586
15,366130,196864
16,287021,554119
17,3471915,2446891
18,1242413,1729516
20,570323,771406
21,772474,1326646
22,856034,1255776
23,435072,360737
24,1985023,976414
25,2382202,1167202
28,539508,756789
29,1253014,1718736
30,244786,343602
31,374583,556846
34,2608335,1883274
35,501614,401894
36,5244886,3251997
38,114902,235595
40,503890,1020280
41,1340383,958448
44,307486,199922
45,1091541,1385103
46,150471,261043
47,1143711,1852475
49,560282,865140
50,242820,112704
51,2413568,1962430
53,2369612,1584651
54,235984,545382
56,73491,193559
